index,negotiation_arrangement,name,billing_code_type,billing_code_type_version,billing_code,description,bundled_codes_billing_code_type,bundled_codes_billing_code_type_version,bundled_codes_billing_code,bundled_codes_description,covered_services_billing_code_type,covered_services_billing_code_type_version,covered_services_billing_code,covered_services_description,negotiated_rates_provider_groups_npi,negotiated_rates_provider_groups_tin_type,negotiated_rates_provider_groups_tin_value,negotiated_rates_negotiated_prices_negotiated_type,negotiated_rates_negotiated_prices_negotiated_rate,negotiated_rates_negotiated_prices_expiration_date,negotiated_rates_negotiated_prices_service_code,negotiated_rates_negotiated_prices_billing_class
2987125,ffs,VISIT BY RHC/FQHC PRACTITIONER TO A MEMBER IN A SNF,RC,2022,525,VISIT BY RHC/FQHC PRACTITIONER TO A MEMBER IN A SNF,,,,,,,,,1336106806,ein,04-2220716,percentage,79.27,12/31/9999,22,institutional
2984051,ffs,MRI OTHER,RC,2022,619,MRI OTHER,,,,,,,,,1295765261,ein,04-2791396,percentage,61.69,12/31/9999,22,institutional
197800,ffs,IMM ADMN SARSCOV2 30MCG/0.3ML DIL RECON 1ST DOSE,CPT,2022,0001A,IMM ADMN SARSCOV2 30MCG/0.3ML DIL RECON 1ST DOSE,,,,,,,,,1831137033,ein,32-0367841,fee schedule,45.88,12/31/9999,11,professional
198308,ffs,IMM ADMN SARSCOV2 30MCG/0.3ML DIL RECON 2ND DOSE,CPT,2022,0002A,IMM ADMN SARSCOV2 30MCG/0.3ML DIL RECON 2ND DOSE,,,,,,,,,1437816642,npi,1437816642,fee schedule,45.88,12/31/9999,11,professional
196010,ffs,ADM SARSCOV2 30MCG/0.3ML BST,CPT,2022,0004A,ADM SARSCOV2 30MCG/0.3ML BST,,,,,,,,,1891744124,npi,1891744124,fee schedule,45.88,12/31/9999,11,professional
199488,ffs,ONC HMTLMF NEO RNA BCR/ABL1 BLD/BNE MARROW,CPT,2022,0016U,ONC HMTLMF NEO RNA BCR/ABL1 BLD/BNE MARROW,,,,,,,,,1366424384,ein,04-2911067,fee schedule,263.92,12/31/9999,11,professional
203690,ffs,"DRUG METABOLISM, TARGETED SEQUENCE ANALYSIS",CPT,2022,0029U,"DRUG METABOLISM, TARGETED SEQUENCE ANALYSIS",,,,,,,,,1932164647,ein,04-2807148,fee schedule,1324.76,12/31/9999,11,professional
204001,ffs,"DRUG METABOLISM, TARGETED SEQUENCE ANALYSIS",CPT,2022,0030U,"DRUG METABOLISM, TARGETED SEQUENCE ANALYSIS",,,,,,,,,1891753737,npi,1891753737,fee schedule,114.01,12/31/9999,11,professional
210900,ffs,"TPMT, NUDT15, GENE ANALYSIS, COMMON VARIANT",CPT,2022,0034U,"TPMT, NUDT15, GENE ANALYSIS, COMMON VARIANT",,,,,,,,,1598725145,npi,1598725145,fee schedule,396.24,12/31/9999,11,professional
206686,ffs,IMM ADMN SARSCOV2 5 MCG/0.5 ML 1ST DOSE,CPT,2022,0041A,IMM ADMN SARSCOV2 5 MCG/0.5 ML 1ST DOSE,,,,,,,,,1992908768,npi,1992908768,fee schedule,45.88,12/31/9999,11,professional
202865,ffs,CEREBRL PERFUSN ANALYSIS USING COMPUTED TOMOGRPHY W/CONTRAST,CPT,2022,0042T,CEREBRL PERFUSN ANALYSIS USING COMPUTED TOMOGRPHY W/CONTRAST,,,,,,,,,1659691020,ein,82-3315703,fee schedule,311.45,12/31/9999,11,professional
202842,ffs,CEREBRL PERFUSN ANALYSIS USING COMPUTED TOMOGRPHY W/CONTRAST,CPT,2022,0042T,CEREBRL PERFUSN ANALYSIS USING COMPUTED TOMOGRPHY W/CONTRAST,,,,,,,,,1659691020,ein,04-2743894,fee schedule,311.45,12/31/9999,11,professional
201729,ffs,ANESA.4 PROC. ON CLAVICLE AND SCAPULA; NOC,CPT,2022,450,ANESA.4 PROC. ON CLAVICLE AND SCAPULA; NOC,,,,,,,,,1972594406,ein,04-2807148,fee schedule,724.62,12/31/9999,11,professional
